发震时间(utc+8),经度,纬度,震级(M),震源深度(Km),震中位置,死亡人数,直接经济损（万元）
1998-08-02 00:12:00,77.5,39.6,6,11,新疆伽师,0,5217.71
1998-05-29 00:12:00,79.2,37.8,6.2,11,新疆皮山与墨玉之间,0,5486.75
1998-01-10 00:12:00,114.3,41.1,6.2,10,河北尚义东,49,84187.9
1997-03-01 00:12:00,76.9,39.5,6,--,新疆伽师,1,9019.48
1997-01-21 00:12:00,77.4,39.6,6.2,--,新疆伽师、阿图什,12,38211.6
1996-11-19 00:12:00,78.5,35.6,7.1,16,新疆昆仑山,0,0
1996-05-03 00:12:00,109.6,40.8,6.4,24,内蒙包头、固阳一带,26,268300
1996-03-19 00:12:00,76.8,39.9,6.9,11,新疆阿图什以北,24,38700
1996-02-03 00:12:00,100.3,27.2,7,10,云南丽江,309,304900
1996-01-09 00:12:00,85.6,43.8,5.2,31,新疆乌苏南,2,97
1995-10-24 00:12:00,102.2,25.9,6.5,12.5,云南武定,53,77996.51
1995-04-26 00:12:00,103.7,29,5.1,--,四川沐川县,0,3181.3
1994-01-03 00:12:00,100.1,36.1,6,8,青海共和,0,5744.86
1993-12-01 00:12:00,75.6,39.3,6,28,新疆喀什市西,2,4805
1993-10-02 00:12:00,88.8,38.3,6.6,--,新疆若羌,0,480
1993-08-14 00:12:00,101.3,25.5,5.6,--,云南姚安,0,3055
1993-03-20 00:12:00,87.4,29.3,6.6,21,西藏拉孜西北,2,6900
1993-01-27 00:12:00,101.1,22.9,6.3,14,云南普洱,0,6870
1992-12-18 00:12:00,100.55,26.331,5.4,20,云南永胜,1,1100
1992-11-30 00:12:00,98,33.2,5.1,--,四川甘孜、石渠,0,4369
1992-11-26 00:12:00,117,25.1,5,8,福建省连城,0,10200
1992-08-17 00:12:00,91.9,30,5.1,14,西藏拉萨墨竹,0,0
1992-07-30 00:12:00,90.27,29.58,6.5,--,西藏尼木,0,3652
1992-06-21 00:12:00,99.62,38.55,5,20,青海省祁连县城,0,0
1992-04-23 00:12:00,99.95,22.42,6.7,31,中缅交界（云南）,0,0
1992-04-05 00:12:00,81.07,36.02,5.9,28,新疆和田策勒南,0,755
1992-01-12 00:12:00,98.32,39.75,5.4,20,甘肃嘉峪关酒泉间,0,5
1991-10-01 00:12:00,101.33,37.8,5.2,--,青海门源县,0,0
1991-09-30 00:12:00,112.58,43.07,5.4,--,内蒙苏尼特右旗,0,8
1991-09-20 00:12:00,100.17,36,5.3,--,青海省共和县,0,1000
1991-09-14 00:12:00,105.03,40.38,5,19,内蒙阿拉善左旗,0,20
1991-09-14 00:12:00,90.1,29.18,5.1,--,西藏仁布东,0,0
1991-09-02 00:12:00,95.5,37.27,5,10,青海锡铁山,0,271.09
1991-07-01 00:12:00,99,24.8,5.2,--,云南保山、施甸,0,5100
1991-05-30 00:12:00,118.27,39.68,5.1,--,河北唐山,2,18300
1991-03-26 00:12:00,113.85,40.96,5.8,12,山西大同、阳高间,1,9962
1991-03-11 00:12:00,99.47,33.6,5,10,青海甘德,0,1022
1991-02-25 00:12:00,79,40.38,6.5,22,新疆柯坪,0,1300
1991-02-18 00:12:00,102.38,31.58,5.2,10,四川小金,0,3800
1991-01-29 00:12:00,112.55,38.43,5.1,14,山西忻州,0,0
1991-01-13 00:12:00,106.05,40.55,5.3,--,内蒙古自治区阿拉善左旗,0,20
1991-01-02 00:12:00,99.9,38.2,5.1,--,青海祁连县西南,0,0
1990-10-25 00:12:00,83.9,44.23,5.2,20,新疆乌苏,0,10
1990-10-20 00:12:00,103.72,37.11,6.2,15,甘肃天祝、景泰间,4,15000
1990-08-04 00:12:00,103.29,29.54,5,14,四川峨边西北,0,800
1990-04-26 00:12:00,100.33,36.06,7,9,青海共和西南,119,27427
1990-04-17 00:12:00,75.21,39.53,6.4,30,新疆乌恰,0,400
1990-02-10 00:12:00,121,31.68,5.1,15,江苏省常熟市,2,13000
1990-01-15 00:12:00,99.5,23.3,5.2,--,云南仓源,0,0
1990-01-14 00:12:00,92,37.89,6.6,16,青海芒崖,0,1000
1989-11-20 00:12:00,106.89,29.92,5.4,5,四川省重庆江北县,3,15000
1989-11-02 00:12:00,106.28,35.97,5,14,宁夏固原,0,0
1989-10-19 00:12:00,113.91,39.92,6.1,--,山西大同、阳高间,15,36500
1989-09-22 00:12:00,102.51,31.58,6.6,10,四川省小金县,1,28217
1989-09-20 00:12:00,103.21,25.47,5.1,10,云南寻甸、嵩明间,0,3200
1989-07-21 00:12:00,99.2,29.2,5.8,13,四川巴塘东,3,0
1989-06-09 00:12:00,102.38,29.34,5.2,9,四川石棉西北,1,0
1989-05-07 00:12:00,99.62,23.52,6.3,10,云南耿马附近,1,5521
1989-05-06 00:12:00,90.73,22.33,5.1,--,云南孟连,0,0
1989-04-16 00:12:00,99.23,29.99,6.6,15,四川巴塘,3,0
1989-03-01 00:12:00,103,31.5,5,15,四川小金北,0,0
1989-02-04 00:12:00,90.1,29.95,5.6,52,西藏尼木麻江东北,0,0
1988-11-22 00:12:00,99.6,38.57,5.2,24,甘肃省肃南,0,0
1988-11-06 00:12:00,99.79,22.92,7.6,13,云南澜沧北,748,275000
1988-11-06 00:12:00,99.55,23.16,7.2,16,云南耿马团结乡,0,0
1988-11-05 00:12:00,91.87,34.27,6.8,7,青海格尔木西南,0,0
1988-08-15 00:12:00,99.86,22.83,5,15,云南澜沧北,1,0
1988-06-02 00:12:00,101.4,30.61,5,9,四川道孚东南,0,0
1988-05-26 00:12:00,85.67,41.95,5.2,20,新疆维吾尔自治区库尔勒,0,0
